digit_count,Year,month,mean_monthly_temp,mean_monthly_rainfall,littoral_mean_monthly_ndvi,littoral_vegetation_area,mean_monthly_ndbi,Bare_soil_area,mean_monthly_ndwi,water_area,hyacinth_mean_monthly_ndvi,hyacinth_area
204,2001,1,15,5.78,0.11,255.5523,-0.06,50.031,0,0,0,0
205,2001,2,32,1.95,0.26,1012.545,-0.06,108.7578,0.04,0,-0.03,6.408
206,2001,3,0,4.62,0,0,0,0,0,0,0,0
207,2001,4,30,7.26,0.24,966.7503,-0.07,118.9827,0.04,0.0981,-0.03,5.0193
208,2001,5,32,5.72,0.3,991.1457,-0.11,32.0526,0.05,0,-0.03,6.8508
209,2001,6,0,4.05,0,0,0,0,0,0,0,0
210,2001,7,18,2.74,0.15,769.4433,-0.08,127.6218,0.05,8.1369,-0.04,4.4694
211,2001,8,28,3.16,0.15,790.8606,-0.04,245.0241,0.04,0.4518,-0.02,6.0984
212,2001,9,11,5.97,0.05,82.4967,0,63.8334,0,0,0,0
213,2001,10,-15,4.6,0.15,818.4942,-0.13,9.5562,0,0.2583,0.01,1.143
214,2001,11,-1,5.11,0.11,689.0832,-0.11,56.2149,0.01,3.4659,0,5.1372
215,2001,12,-6,1.59,0.16,826.4808,-0.12,32.6628,0.01,3.2229,0,4.5738
216,2002,1,31,3.89,0.22,871.587,-0.04,272.9385,0.05,0.9459,-0.02,4.4631
217,2002,2,31,1.62,0.2,961.3521,-0.02,359.4492,0.03,0.0495,-0.02,5.8257
218,2002,3,33,6.84,0.22,888.804,-0.04,201.5307,0.05,0,-0.03,5.8419
219,2002,4,24,8.57,0.29,187.9686,-0.1,12.6864,0,0,0,0
220,2002,5,5,6.98,0.27,983.2374,-0.15,5.3181,0.02,0.7452,-0.01,6.3603
221,2002,6,0,2.79,0,0,0,0,0,0,0,0
222,2002,7,19,2.46,0.24,1002.7494,-0.09,58.8699,0.02,0,0,5.7483
223,2002,8,0,2.03,0,0,0,0,0,0,0,0
224,2002,9,35,2.84,0.23,997.3539,-0.03,373.7421,0.04,0,-0.03,5.7564
225,2002,10,24,3.94,0.19,913.7223,-0.04,275.697,0.03,0.063,-0.01,3.5883
226,2002,11,14,6.79,0.23,884.673,-0.11,12.6648,0,0,0.01,6.6195
227,2002,12,28,4.59,0.24,943.7634,-0.09,72.9612,0.03,0,-0.02,6.8679
228,2003,1,28,1.63,0.29,1009.7676,-0.11,17.5464,0.03,0,-0.01,6.3711
229,2003,2,22,1.51,0.06,633.9015,0,436.8906,0.06,22.8825,-0.07,1.413
230,2003,3,27,4.64,0.15,908.8623,0.01,650.3337,0.03,0.8937,-0.02,3.9087
231,2003,4,32,7.7,0.29,191.0232,-0.09,11.5119,0,0,0,0
232,2003,5,30,6.64,0.33,1009.899,-0.14,15.3414,0.02,0,-0.02,7.5699
233,2003,6,0,4.19,0,0,0,0,0,0,0,0
234,2003,7,0,2.45,0,0,0,0,0,0,0,0
